station_id,name
7776,Ferrand Dr / Rochefort Dr
7777,Thorncliffe Park Dr / Leaside Park Trail
7778,75 Thorncliffe Park Dr
7779,165 McRae Dr
7780,Mount Pleasant Rd / Davisville Ave - SMART
7781,St. Clair Ave W / Avenue Rd
7782,Downsview Park Subway Station - SMART
7783,60 Carl Hall Rd - SMART
7784,Downsview Park Blvd / Keele St  - SMART
7785,Keele St / Dovehouse Ave - SMART
7787,HTO Park West
7788,Queens Quay E / Lower Jarvis St
7789,75 Holly St
7790,Lynn Williams St / Pirandello St
7791,Ossington Ave / Bruce St
7792,Gladstone Ave / Queen St W
7793,2 Church St
7794,York St / Harbour St (Love Park)
7795,Charles St / Church St - SMART
7796,Dundas St E / River St
7798,Shuter St/River St
7799,Danforth Ave / Danforth Rd
7800,Brimley Rd / McCowan District Park
7801,Parkcrest Dr / Kingston Rd
7802,King St W / Jameson Ave - SMART
7803,Scarborough Soccer Centre
7804,Lansdowne Ave / Seaforth Ave
7805,Pharmacy Ave / Teesdale Pl
7806,Danforth Rd / Birchmount Rd
7807,552 Birchmount Rd
7808,Eastgate Cres / Pharmacy Ave
7809,Firvalley Ct / Warden Ave
7810,Avenue Rd / Cumberland St
7811,Midland Ave / Kingston Rd
7812,Bellamy Rd S / Kingston Rd
7813,Yonge St / Merton St
7814,Fenwood Ht / Kingston Rd
7815,Avenue Rd / Macpherson Ave
7816,Bay St / Dundas St W
7817,Shaw St / King St W
7818,Soudan Ave / Yonge St
7819,Avenue Rd / Oxton Ave
7820,1612 Danforth Ave
7821,Lisgar St / Queen St W - SMART
7822,Leslie St / Commissioners St
7823,Greenwood Ave / Sammon Ave
7824,Warden Subway Station
7825,Kingston Rd / Scarborough Golf Club Rd
7826,Greenwood Ave / Gerrard St E
7827,Chatham Ave / Byron Ave
7828,Wakunda Pl / O'Connor Dr
7829,Tiago Ave / Westview Blvd
7830,Plaxton Dr / St. Clair Ave E
7831,Victoria Park Ave / Edge Park Ave
7832,Finch Subway Station
7833,Glencairn Subway Station
7834,Glen Long Community Centre
7835,Caledonia Rd / Lotherton Pathway
7836,Harvie Ave / Rogers Rd
7837,Ling Rd / Morningside Ave
7838,Lake Shore Blvd W / Legion Rd
7839,Lake Shore Blvd W / Seventeenth St
7840,Mabelle Park
7841,Islington Subway Station (Aberfoyle Cres)
7842,Lake Shore Blvd W / Long Branch Ave
7843,Uno Dr / The Queensway
7844,Second St / Lake Shore Blvd W
7845,Sixth St / Lake Shore Blvd W
7846,Bloor St W / Dundas St W (2)
7848,Gerrard St E / Nasmith Ave
7849,Viewmount Park
7850,Maud St / Adelaide St W - SMART
7851,Keele St / Ingram Dr
7852,York Recreation Centre
7853,Trethewey Dr / Black Creek Dr
7854,Jane St / Haney Ave
7855,Scarlett Rd / Eileen Ave
7856,Scarlett Rd / Old Scarlett Rd
7857,Eglinton Ave W / Venn Cres
7858,Rogers Rd / Bicknell Ave
7859,Mallaby Park
7860,Cruickshank Park
7861,Emmett Ave
7862,Jane St / Weston Rd
7863,Jane St / Queens Dr
7864,Sussex Ave / St George St
7865,2700 Eglinton Ave W
7866,697 Lansdowne Ave
7867,15 Price St
7868,Sheppard Ave W / Chesswood Dr
7869,Sentinel Rd / Sheppard Ave W
7870,Humber River Hospital
7871,Jane St / Lawrence Ave W
7872,Keele St / Catford Rd
7873,Sentinel Rd / Finch Ave W
7874,The Pond Rd / Ian Macdonald Blvd
7875,Oakdale Community Centre
7876,Jane St / Yewtree Blvd
7877,Jane St / Yorkwoods Gt
7878,Weston Rd / Sheppard Ave W
7879,Weston Rd / Lanyard Rd
7880,Lindylou Rd / Lanyard Rd
7881,Queens Quay E / Merchants' Wharf
7882,Tangiers Rd / Finch Ave W
7883,Wynford Heights Cres / Concorde Pl
7884,Bartley Park
7885,Brooklawn Ave / Kingston Rd
7886,Jane St / Finch Ave W
7887,800 Fleet St (North)
7888,The Kingsway / Ashley Rd
7889,Dundas St W / Prince Edward Dr N
7890,60 Broadway Ave
7891,Opposite 1103 Leslie St
7892,Erskine Ave / Redpath Ave
7893,Overlea Blvd / Thorncliffe Park Dr
7894,Millwood Rd / Southvale Dr
7895,Keele St / Lloyd Ave
7896,Arlington Parkette
7897,50 Overlea Blvd
